learning_rate,fold,train_accuracy,validation_accuracy,validation_f1_macro,validation_log_loss,epochs
0.001,1,1.0,0.96,0.9568151147098515,0.07584917418513969,356
0.001,2,1.0,1.0,1.0,0.006449122281267996,396
0.001,3,1.0,1.0,1.0,0.012176191186441771,395
0.001,4,1.0,0.96,0.9602339181286549,0.0671793732686647,336
0.001,5,1.0,1.0,1.0,0.009821559827411236,372
0.01,1,1.0,0.96,0.9568151147098515,0.10135428383830153,103
0.01,2,1.0,1.0,1.0,0.001565553391366595,109
0.01,3,1.0,1.0,1.0,0.0039326055886227795,106
0.01,4,1.0,0.96,0.9602339181286549,0.04264666300873685,92
0.01,5,1.0,1.0,1.0,0.0021912630074454914,103
0.1,1,1.0,0.96,0.9568151147098515,0.0405292917232599,33
0.1,2,1.0,1.0,1.0,0.0006470470134775295,36
0.1,3,1.0,1.0,1.0,0.0007105363464790497,34
0.1,4,1.0,0.96,0.9602339181286549,0.03869694393073032,30
0.1,5,1.0,1.0,1.0,0.00032604286236619486,33
