capa,tipo,origen,destino,valor
1,peso,alcohol,h1,0.5209708531382709
1,peso,alcohol,h2,-0.5744240613943875
1,peso,alcohol,h3,0.9618899130355478
1,peso,alcohol,h4,0.843799351324967
1,peso,alcohol,h5,0.3081781103077531
1,peso,alcohol,h6,-0.8471068830776453
1,peso,alcohol,h7,0.22527885050325946
1,peso,alcohol,h8,0.9362975245659434
1,peso,alcohol,h9,0.1890527451638396
1,peso,alcohol,h10,-0.651779304826773
1,peso,alcohol,h11,-0.9238025066957504
1,peso,alcohol,h12,0.5478139451134978
1,peso,alcohol,h13,-0.29959204584575533
1,peso,alcohol,h14,-0.8430179603794453
1,peso,alcohol,h15,-1.0844744998153286
1,peso,alcohol,h16,-0.7956506014114777
1,peso,malic_acid,h1,0.22244910731820655
1,peso,malic_acid,h2,-0.3979731448817198
1,peso,malic_acid,h3,0.3159794071071548
1,peso,malic_acid,h4,0.2808084597135147
1,peso,malic_acid,h5,0.27791965437643096
1,peso,malic_acid,h6,-0.19828139194418165
1,peso,malic_acid,h7,-0.1497011243110592
1,peso,malic_acid,h8,0.30873292910000943
1,peso,malic_acid,h9,-0.21462716210730215
1,peso,malic_acid,h10,-0.3304206059685979
1,peso,malic_acid,h11,-0.08790021992464664
1,peso,malic_acid,h12,-0.12515719922595417
1,peso,malic_acid,h13,-0.23689705064273853
1,peso,malic_acid,h14,-0.38228293861493556
1,peso,malic_acid,h15,-0.3841484893652509
1,peso,malic_acid,h16,-0.17507105641672163
1,peso,ash,h1,0.36311590659331067
1,peso,ash,h2,-0.6106701457958753
1,peso,ash,h3,0.8270984270738895
1,peso,ash,h4,0.8350360747708531
1,peso,ash,h5,0.31368763997150956
1,peso,ash,h6,-0.6878901075676624
1,peso,ash,h7,0.1467576415000747
1,peso,ash,h8,0.6823667202200911
1,peso,ash,h9,-0.21430063527989124
1,peso,ash,h10,-0.7185882524678441
1,peso,ash,h11,-0.33868381611379594
1,peso,ash,h12,0.27476258833378914
1,peso,ash,h13,-0.5100983903233018
