indice_original,clase_real,clase_predicha,probabilidad_clase_0,probabilidad_clase_1,probabilidad_clase_2
2,0,0,0.9964320100326414,0.0025059574495765354,0.0010620325177820673
64,1,1,0.00030716254076727296,0.9992248577647839,0.00046797969444897135
18,0,0,0.9975552174685484,0.00032724669528582203,0.002117535836165886
7,0,0,0.9950529946870783,0.00034960253929780045,0.004597402773623857
38,0,0,0.8233894601639455,0.17475065318891633,0.0018598866471382196
58,0,0,0.9977455080824462,0.00044217833669163155,0.0018123135808619972
156,2,2,0.004600369202122496,0.0009700941350551242,0.9944295366628224
87,1,1,0.00012434240196998857,0.9993696473956811,0.0005060102023489583
121,1,1,0.1380316625962986,0.8600306321893222,0.0019377052143792056
130,2,2,0.011996965472201965,0.0676890583807201,0.920313976147078
118,1,1,0.0046672408624651345,0.8993413987621279,0.0959913603754069
98,1,1,0.026347816327835748,0.9734607360795817,0.0001914475925825702
177,2,2,0.0040470565654653675,0.0006426554253501547,0.9953102880091844
94,1,1,0.0010447406573042938,0.9987216714307506,0.0002335879119451475
22,0,0,0.9952233134481211,0.0041198668993836125,0.0006568196524952546
155,2,2,0.002267815763775843,0.0014274648364101838,0.9963047193998139
76,1,1,0.000456067877348939,0.9992610791135016,0.0002828530091492888
23,0,0,0.9801223789105566,0.01800480801847666,0.001872813070966649
176,2,2,0.004897049304571691,0.000983902315752818,0.9941190483796756
169,2,2,0.005146526431333654,0.0007526181368017335,0.9941008554318645
102,1,1,0.007599570280270813,0.9885815417465391,0.0038188879731900468
144,2,2,0.003946239483723727,0.0020635649497331198,0.993990195566543
138,2,2,0.00492692520576332,0.012118906086198195,0.9829541687080384
143,2,2,0.018170236195604244,0.01568786097868514,0.9661419028257107
68,1,0,0.5572399118226002,0.10425028220130378,0.338509805976096
164,2,2,0.002383283638108287,0.0012389736966786592,0.9963777426652131
35,0,0,0.9763247798650629,0.02195692707917038,0.0017182930557666388
62,1,1,0.014851319650290577,0.9827835898990815,0.0023650904506277823
14,0,0,0.998758799391435,0.00047329325371718676,0.0007679073548478568
112,1,1,0.008007012467383603,0.9762174647028878,0.015775522829728383
21,0,0,0.980227651947953,0.015432825188604856,0.004339522863442008
66,1,1,0.01809261078986224,0.9817656342298777,0.00014175498026002675
134,2,2,0.007669245868566129,0.33537547839516757,0.6569552757362662
93,1,1,0.0010418758136119292,0.998793610127763,0.0001645140586251462
100,1,1,0.0011177340944218907,0.9987328665304391,0.00014939937513898532
173,2,2,0.007144656842186547,0.0006668648986053086,0.9921884782592081
60,1,1,0.002789745165345715,0.9863929208366511,0.010817333998003262
129,1,1,0.0010167867415594725,0.9859668578206525,0.013016355437787917
84,1,1,0.002813425481662436,0.9966726089600944,0.0005139655582431435
20,0,0,0.9961577602811247,0.0031688113604591553,0.0006734283584161562
132,2,2,0.0013159439507764296,0.03257619862521974,0.9661078574240037
51,0,0,0.9977359671304656,0.0014020162440475492,0.0008620166254866133
46,0,0,0.9983111224081125,0.0007669212781805653,0.000921956313706879
48,0,0,0.9960668901547566,0.0020765724752225784,0.0018565373700208912
10,0,0,0.9982280854379616,0.0009422544600788865,0.0008296601019594097
92,1,1,0.00017204511820910278,0.9984904150240432,0.0013375398577477689
128,1,1,0.00014767142725122758,0.9994663802274175,0.0003859483453312455
42,0,0,0.9982196046396459,0.00045331808833103544,0.00132707727202295
166,2,2,0.004155068592780645,0.0009108909861421552,0.9949340404210772
39,0,0,0.9979431760865641,0.0004662190744861245,0.0015906048389498861
108,1,1,0.00022878410818103734,0.9995335791248985,0.00023763676692053362
105,1,1,0.00021269100609989645,0.9989369176663693,0.0008503913275309212
165,2,2,0.002098051035095299,0.006904710056005816,0.9909972389088989
28,0,0,0.9965429530041716,0.002384660183631292,0.0010723868121970679
