modelo,pliegue,mae,rmse,r2
Regresión lineal,1,0.5407140746076861,0.7338977899061454,0.6097023914123486
Regresión lineal,2,0.5287898127470761,0.725167013607013,0.6041134341086474
Regresión lineal,3,0.5127419324776361,0.6972686671565598,0.635431900862436
Regresión lineal,4,0.5351242202355686,0.7333718490009634,0.6007614806976957
Regresión lineal,5,0.5279336383578518,0.7128422528567906,0.6072745219720874
Regresión polinomial (grado 2),1,0.4837796289694479,0.8380200428520266,0.4910987213349832
Regresión polinomial (grado 2),2,0.5565191092128324,4.14598253832043,-11.940457193045686
Regresión polinomial (grado 2),3,0.45069050495019,0.650666618969366,0.6825353176285538
Regresión polinomial (grado 2),4,0.46866850618237593,0.6778246645019939,0.6589494915878497
Regresión polinomial (grado 2),5,0.46454029103941263,0.6392311003060726,0.6841957271938262
Regresión log-lineal,1,0.5455440931246086,0.839925657980096,0.48878165842580934
Regresión log-lineal,2,0.5248898889375785,0.8110745905249206,0.5047593612048913
Regresión log-lineal,3,0.5111974889089084,0.7639637965343746,0.562353035547541
Regresión log-lineal,4,0.5254047567969371,0.7862667098002394,0.5410939934527463
Regresión log-lineal,5,0.5244972868524671,0.7969840752659003,0.5090904324491199
Árbol de decisión,1,0.44375282514900016,0.6498770344847056,0.6939537160077696
Árbol de decisión,2,0.4145475920009154,0.6098576276463867,0.7200041443362967
Árbol de decisión,3,0.4158786201150956,0.618598676446744,0.7130565359938934
Árbol de decisión,4,0.4355614116807518,0.6478845350243594,0.6884130983714584
Árbol de decisión,5,0.4274724371525036,0.6331142016404013,0.6902107667169262
