indice_california_housing,Ingreso mediano (decenas de miles de USD),Edad mediana de las viviendas (años),Habitaciones promedio por hogar,Dormitorios promedio por hogar,Población del bloque censal,Ocupantes promedio por hogar,Latitud,Longitud,valor_real,Regresión lineal,Regresión polinomial (grado 2),Regresión log-lineal,Árbol de decisión
20046,1.6812,25.0,4.192200557103064,1.0222841225626742,1392.0,3.8774373259052926,36.06,-119.01,0.477,0.7191228416019153,0.5539974079447345,0.8730785400585226,0.53276375
3024,2.5313,30.0,5.039383561643835,1.1934931506849316,1565.0,2.6797945205479454,35.14,-119.46,0.458,1.7640165706624171,1.7511856581120264,1.6679874731116322,0.7265511811023622
15663,3.4801,52.0,3.977154724818276,1.185877466251298,1310.0,1.3603322949117342,37.8,-122.44,5.00001,2.709658833431731,3.492379265936001,2.4488041790489965,4.968580000000001
20484,5.7376,17.0,6.163636363636364,1.02020202020202,1705.0,3.4444444444444446,34.28,-118.72,2.186,2.838925930183928,2.8496686106207276,2.7173914554004597,2.20485294117647
9814,3.725,34.0,5.492990654205608,1.02803738317757,1063.0,2.4836448598130842,36.62,-121.93,2.78,2.604657251810314,2.762425550376947,2.523998600889036,2.0455147058823524
13311,4.7147,12.0,5.251482799525504,0.9750889679715302,2400.0,2.8469750889679717,34.08,-117.61,1.587,2.011753673249895,1.9134709503600473,1.8368752535565842,1.60085
7113,5.0839,36.0,6.221719457013575,1.0950226244343892,670.0,3.0316742081447963,33.89,-118.02,1.982,2.6455000493766545,2.664757787925213,2.41282021555226,2.1734680851063817
7668,3.6908,38.0,4.962825278810409,1.0483271375464684,1011.0,3.758364312267658,33.92,-118.08,1.575,2.1687553212871067,2.0154490598294985,1.9653117892396037,1.6980914893617025
18246,4.8036,4.0,3.9246575342465753,1.0359589041095891,1050.0,1.797945205479452,37.39,-122.08,3.4,2.7407464411385103,2.893809796498495,2.61355150299692,2.3425576923076923
5723,8.1132,45.0,6.87905604719764,1.0117994100294985,943.0,2.781710914454277,34.18,-118.23,4.466,3.915614725032483,3.9674657579659787,3.8839204876818556,4.998052340425534
20069,2.5417,30.0,5.086021505376344,1.1720430107526882,242.0,2.6021505376344085,38.01,-120.37,1.232,0.9389615628098289,0.875118711575898,0.9288251941692509,1.0934400000000002
6835,3.0,35.0,3.6141479099678455,0.9887459807073955,1762.0,2.832797427652733,34.08,-118.12,2.539,1.901221766444077,1.9384914621214353,1.7311026369470333,1.8302134831460672
11351,2.8594,20.0,4.151458137347131,1.118532455315146,4818.0,4.532455315145814,33.76,-117.91,2.151,1.758711781102554,1.7680976707542921,1.6955520405767075,1.575285714285714
20267,3.3409,18.0,4.646983311938382,1.0937098844672657,3171.0,4.070603337612323,34.2,-119.19,2.205,2.250159795468976,2.2177263406878085,2.200404882598193,1.6980914893617025
7097,5.3668,27.0,6.702898550724638,1.0289855072463767,1793.0,3.2481884057971016,33.92,-117.98,2.198,2.5408697582138626,2.5014249206117816,2.350450370597238,2.5369416788321173
6298,3.8201,22.0,5.01119104716227,1.0223820943245403,5587.0,4.466027178257394,34.02,-117.91,1.362,1.917404902008579,1.7535398497936119,1.8113130259476407,1.6980914893617025
696,3.9063,41.0,4.633540372670807,0.9006211180124224,387.0,2.4037267080745344,37.69,-122.1,1.784,2.386482948927118,2.3739279934123187,2.156422706065335,2.020666666666666
19607,4.1346,26.0,5.626506024096385,1.1204819277108433,244.0,2.9397590361445785,37.48,-121.02,1.875,2.0109303249640105,1.7527899050924656,1.7681658799337692,1.6465507246376807
14173,3.8233,36.0,5.18974358974359,1.0461538461538462,1030.0,2.641025641025641,32.75,-117.05,1.398,2.2274093366609815,2.333108884302452,2.046819774021389,1.4865625000000005
19638,2.1875,27.0,5.267175572519084,1.0305343511450382,810.0,3.0916030534351147,37.43,-120.97,1.375,1.1185315173418344,0.907507151565847,1.1488152064368409,0.8206028708133976
18332,4.2297,47.0,3.8737419945105214,1.0576395242451968,1808.0,1.6541628545288198,37.45,-122.16,4.25,2.9331307915130855,3.6399656035505066,2.715505100631745,3.6249470270270288
4691,4.3667,50.0,4.881782945736434,1.0406976744186047,1117.0,2.1647286821705425,34.07,-118.37,4.056,2.6609362120341147,3.081850021783189,2.4029901557839572,3.2580940654205603
2323,5.3478,8.0,6.210344827586207,0.9431034482758621,1959.0,3.377586206896552,36.83,-119.73,1.388,1.877669079522489,1.8085196213959778,1.666456298309214,1.3936153846153847
16880,6.1323,32.0,6.28951048951049,1.020979020979021,1846.0,2.581818181818182,37.59,-122.39,5.00001,3.351918252266256,3.5736855950959527,3.302107398313793,3.4486432142857137
14521,4.2234,16.0,4.682678311499272,1.042212518195051,2054.0,2.98981077147016,32.9,-117.14,1.621,2.2446419658191923,2.2871501209522744,2.100977458822201,1.797610169491524
19833,1.9602,38.0,4.3720136518771335,1.0136518771331058,1423.0,4.856655290102389,36.53,-119.38,0.514,0.9014366008493633,0.4194018639731769,0.9480828742765581,0.5950161290322581
8383,2.5504,26.0,3.725552050473186,1.1093585699263933,2742.0,2.8832807570977916,33.96,-118.36,1.513,1.8449955988427016,2.019019780442655,1.7507384884129302,2.1658684868421063
2647,3.25,38.0,5.978021978021978,0.978021978021978,240.0,2.6373626373626373,40.55,-124.13,0.948,1.6369502962778253,1.3226050349500025,1.4692415535927026,1.7754074074074069
1456,3.65,22.0,5.531481481481482,1.0425925925925925,1420.0,2.6296296296296298,37.96,-121.98,2.041,1.9188916718833675,1.7480825191418734,1.770139147617432,1.380823182711198
5678,6.2028,35.0,6.326530612244898,1.0136054421768708,1167.0,2.6462585034013606,33.72,-118.3,3.615,3.2542643926509984,3.6103215510600286,3.155838315343094,3.4486432142857137
341,1.6196,38.0,3.83011583011583,1.0772200772200773,732.0,2.8262548262548264,37.75,-122.17,0.851,1.5716906637246826,1.3908693983395606,1.492346967234305,1.3131571428571425
4852,1.23,47.0,5.36734693877551,1.0081632653061225,785.0,3.204081632653061,34.03,-118.31,1.384,1.1268222788358702,0.6264238007128349,1.2033795386570572,1.168242424242424
14386,3.4286,5.0,4.28169014084507,1.1948356807511737,892.0,2.0938967136150235,32.75,-117.23,1.375,2.0575658652281685,2.371831957906145,1.9643470938727896,1.4535
18261,7.1108,29.0,6.335051546391752,0.9896907216494846,707.0,3.6443298969072164,37.37,-122.08,4.65,3.6881241612354607,3.603568912912065,3.7127578872853997,3.771
16105,3.4919,44.0,5.138418079096045,1.0310734463276836,1137.0,3.211864406779661,37.75,-122.5,2.718,2.413548419387162,2.363134363084403,2.2277865620967545,1.7754074074074069
9149,5.5061,17.0,6.923128792987188,1.1348617666891436,4956.0,3.341874578556979,34.46,-118.5,2.394,2.553974715462082,2.6073845579346067,2.419279194825771,2.20485294117647
16879,4.375,34.0,4.532051282051282,1.0192307692307692,381.0,2.4423076923076925,37.6,-122.39,3.409,2.7975443861440494,2.9071382880670633,2.6127492419977623,2.3668121212121216
6253,3.4115,35.0,5.193548387096774,1.0099255583126552,1755.0,4.354838709677419,34.03,-117.96,1.504,1.8539045625657415,1.503409958079123,1.7032394304452456,1.7495862068965513
11741,3.0917,48.0,6.059139784946237,1.010752688172043,530.0,2.849462365591398,38.87,-121.13,1.281,1.0815874645092338,0.849371063203465,0.9909358924277167,0.8506
7330,2.7321,41.0,3.5660377358490565,0.9198113207547169,873.0,4.117924528301887,33.98,-118.17,1.56,1.8522518000544275,1.5713501807793344,1.6922793077406642,1.3590212765957446
20460,6.6073,17.0,6.771498771498772,0.9398034398034398,2734.0,3.3587223587223587,34.29,-118.75,2.581,3.0982382571323317,3.1501872692518784,3.040631086916381,3.1098444444444446
2412,3.7917,24.0,5.3580246913580245,0.9547325102880658,693.0,2.8518518518518516,36.61,-119.45,0.905,1.4246318772125282,1.3283784187089276,1.2905014025200048,0.8624959349593496
19391,2.2679,25.0,3.9716981132075473,0.9622641509433962,303.0,2.858490566037736,37.78,-120.85,0.713,1.0443323247164824,0.9832001533702143,1.0506302495713222,1.3244647887323941
