dataset,particion_entrenamiento_prueba,familia,parametro,etiqueta_parametro,accuracy_entrenamiento,accuracy_prueba,accuracy_cv_entrenamiento_media,accuracy_cv_validacion_media,accuracy_cv_validacion_desviacion
Wine,50/50,K-NN,1,k=1,1.0,0.9438202247191011,1.0,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,3,k=3,1.0,0.9438202247191011,0.9944053208137715,0.966013071895425,0.03105435037439112
Wine,50/50,K-NN,5,k=5,1.0,0.9438202247191011,0.9943661971830986,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,7,k=7,0.9887640449438202,0.9325842696629213,0.9888106416275431,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,11,k=11,0.9887640449438202,0.9775280898876404,0.9859937402190923,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,15,k=15,0.9887640449438202,0.9662921348314607,0.9888106416275431,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,21,k=21,0.9775280898876404,0.9662921348314607,0.9859937402190923,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,31,k=31,0.9887640449438202,0.9662921348314607,0.9859546165884193,0.9888888888888889,0.024845199749997673
Wine,50/50,K-NN,41,k=41,0.9887640449438202,0.9325842696629213,0.8817683881064162,0.888888888888889,0.0878410461157883
Wine,50/50,K-NN,51,k=51,0.898876404494382,0.8539325842696629,0.6375195618153364,0.642483660130719,0.1303630776623506
Wine,50/50,Árbol de decisión,1,1,0.6741573033707865,0.6179775280898876,0.6938967136150234,0.6176470588235294,0.02913816094791992
Wine,50/50,Árbol de decisión,2,2,0.9550561797752809,0.8764044943820225,0.9579029733959311,0.8529411764705882,0.07809021663626482
Wine,50/50,Árbol de decisión,3,3,1.0,0.898876404494382,1.0,0.9209150326797385,0.06426369008534971
Wine,50/50,Árbol de decisión,5,5,1.0,0.898876404494382,1.0,0.9209150326797385,0.06426369008534971
Wine,50/50,Árbol de decisión,8,8,1.0,0.898876404494382,1.0,0.9209150326797385,0.06426369008534971
Wine,50/50,Árbol de decisión,none,Sin límite,1.0,0.898876404494382,1.0,0.9209150326797385,0.06426369008534971
Wine,40/60,K-NN,1,k=1,1.0,0.9532710280373832,1.0,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,3,k=3,1.0,0.9345794392523364,1.0,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,5,k=5,1.0,0.9252336448598131,0.9964912280701753,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,7,k=7,1.0,0.9065420560747663,1.0,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,11,k=11,1.0,0.9626168224299065,0.9964912280701753,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,15,k=15,1.0,0.9626168224299065,1.0,0.9723809523809525,0.03785639412257483
Wine,40/60,K-NN,21,k=21,1.0,0.9626168224299065,1.0,0.9857142857142858,0.03194382824999698
Wine,40/60,K-NN,31,k=31,1.0,0.9345794392523364,0.9015664160401002,0.8438095238095238,0.11825450090430802
Wine,40/60,K-NN,41,k=41,0.8309859154929577,0.794392523364486,0.6760651629072681,0.6895238095238094,0.0665304731298018
Wine,40/60,K-NN,51,k=51,0.7183098591549296,0.6635514018691588,0.3978696741854636,0.40857142857142853,0.05941895526595834
Wine,40/60,Árbol de decisión,1,1,0.6901408450704225,0.6074766355140186,0.7042606516290727,0.6485714285714286,0.06515288143423648
Wine,40/60,Árbol de decisión,2,2,0.971830985915493,0.8691588785046729,0.9753132832080201,0.8466666666666665,0.10036215600651796
Wine,40/60,Árbol de decisión,3,3,1.0,0.8878504672897196,0.9964285714285716,0.8466666666666665,0.10036215600651796
Wine,40/60,Árbol de decisión,5,5,1.0,0.8878504672897196,1.0,0.8466666666666665,0.10036215600651796
Wine,40/60,Árbol de decisión,8,8,1.0,0.8878504672897196,1.0,0.8466666666666665,0.10036215600651796
Wine,40/60,Árbol de decisión,none,Sin límite,1.0,0.8878504672897196,1.0,0.8466666666666665,0.10036215600651796
Breast Cancer Wisconsin,50/50,K-NN,1,k=1,1.0,0.9368421052631579,1.0,0.9436090225563909,0.026196171629532406
Breast Cancer Wisconsin,50/50,K-NN,3,k=3,0.9823943661971831,0.9508771929824561,0.9867880052554293,0.9647243107769423,0.024979891536740163
Breast Cancer Wisconsin,50/50,K-NN,5,k=5,0.9788732394366197,0.9614035087719298,0.9735876033696578,0.9610902255639099,0.038543002760420886
Breast Cancer Wisconsin,50/50,K-NN,7,k=7,0.971830985915493,0.9614035087719298,0.9700711028673004,0.9611528822055136,0.023309618092403825
Breast Cancer Wisconsin,50/50,K-NN,11,k=11,0.9683098591549296,0.9473684210526315,0.9691900455985779,0.9575814536340852,0.02996697585403672
Breast Cancer Wisconsin,50/50,K-NN,15,k=15,0.9612676056338029,0.9473684210526315,0.965665816523688,0.950563909774436,0.029355489164135513
Breast Cancer Wisconsin,50/50,K-NN,21,k=21,0.9612676056338029,0.9368421052631579,0.9586212226601747,0.9541353383458647,0.023868808923928047
Breast Cancer Wisconsin,50/50,K-NN,31,k=31,0.9577464788732394,0.9368421052631579,0.9550969935852848,0.9541353383458645,0.020391825169732303
Breast Cancer Wisconsin,50/50,K-NN,41,k=41,0.954225352112676,0.9333333333333333,0.9480601282943042,0.9400375939849624,0.03222068677031347
Breast Cancer Wisconsin,50/50,K-NN,51,k=51,0.954225352112676,0.9298245614035088,0.93397866913981,0.9224310776942357,0.027110856199659552
Breast Cancer Wisconsin,50/50,Árbol de decisión,1,1,0.9330985915492958,0.9052631578947369,0.9374990339284335,0.8943609022556391,0.03283231934711734
Breast Cancer Wisconsin,50/50,Árbol de decisión,2,2,0.971830985915493,0.9298245614035088,0.9727104103872014,0.9332080200501253,0.031226652071575805
Breast Cancer Wisconsin,50/50,Árbol de decisión,3,3,0.9859154929577465,0.9228070175438596,0.9850374835767834,0.9261904761904762,0.039855731629499874
Breast Cancer Wisconsin,50/50,Árbol de decisión,5,5,0.9964788732394366,0.9157894736842105,0.9991189427312775,0.9332706766917294,0.033632378686691534
Breast Cancer Wisconsin,50/50,Árbol de decisión,8,8,1.0,0.9122807017543859,1.0,0.9297619047619048,0.037105483227850906
Breast Cancer Wisconsin,50/50,Árbol de decisión,none,Sin límite,1.0,0.9122807017543859,1.0,0.9297619047619048,0.037105483227850906
Breast Cancer Wisconsin,40/60,K-NN,1,k=1,1.0,0.9473684210526315,1.0,0.9558454106280193,0.027318402760921456
