dataset,particion_entrenamiento_prueba,modelo,pliegue,accuracy_entrenamiento,accuracy_validacion,f1_macro_validacion
Wine,50/50,K-NN (k=1),1,1.0,1.0,1.0
Wine,50/50,K-NN (k=1),2,1.0,1.0,1.0
Wine,50/50,K-NN (k=1),3,1.0,0.9444444444444444,0.9440559440559441
Wine,50/50,K-NN (k=1),4,1.0,1.0,1.0
Wine,50/50,K-NN (k=1),5,1.0,1.0,1.0
Wine,50/50,K-NN (k=7),1,0.9859154929577465,1.0,1.0
Wine,50/50,K-NN (k=7),2,0.9859154929577465,1.0,1.0
Wine,50/50,K-NN (k=7),3,1.0,1.0,1.0
Wine,50/50,K-NN (k=7),4,1.0,0.9444444444444444,0.9487179487179488
Wine,50/50,K-NN (k=7),5,0.9722222222222222,1.0,1.0
Wine,50/50,K-NN (k=51),1,0.6619718309859155,0.6111111111111112,0.48888888888888893
Wine,50/50,K-NN (k=51),2,0.5915492957746479,0.7222222222222222,0.6921596921596921
Wine,50/50,K-NN (k=51),3,0.6056338028169014,0.5,0.40924775707384403
Wine,50/50,K-NN (k=51),4,0.647887323943662,0.5555555555555556,0.5111111111111111
Wine,50/50,K-NN (k=51),5,0.6805555555555556,0.8235294117647058,0.8268907563025211
Wine,50/50,Árbol (profundidad 1),1,0.676056338028169,0.6111111111111112,0.48179271708683474
Wine,50/50,Árbol (profundidad 1),2,0.7183098591549296,0.6666666666666666,0.5210084033613446
Wine,50/50,Árbol (profundidad 1),3,0.6901408450704225,0.6111111111111112,0.4883040935672514
Wine,50/50,Árbol (profundidad 1),4,0.7183098591549296,0.6111111111111112,0.47338935574229696
Wine,50/50,Árbol (profundidad 1),5,0.6666666666666666,0.5882352941176471,0.45248868778280543
Wine,50/50,Árbol (profundidad 5),1,1.0,0.9444444444444444,0.9474747474747475
Wine,50/50,Árbol (profundidad 5),2,1.0,1.0,1.0
Wine,50/50,Árbol (profundidad 5),3,1.0,0.9444444444444444,0.9440559440559441
Wine,50/50,Árbol (profundidad 5),4,1.0,0.8333333333333334,0.8407407407407407
Wine,50/50,Árbol (profundidad 5),5,1.0,0.8823529411764706,0.8641414141414141
Wine,50/50,Árbol (sin límite),1,1.0,0.9444444444444444,0.9474747474747475
Wine,50/50,Árbol (sin límite),2,1.0,1.0,1.0
Wine,50/50,Árbol (sin límite),3,1.0,0.9444444444444444,0.9440559440559441
Wine,50/50,Árbol (sin límite),4,1.0,0.8333333333333334,0.8407407407407407
Wine,50/50,Árbol (sin límite),5,1.0,0.8823529411764706,0.8641414141414141
Wine,40/60,K-NN (k=1),1,1.0,0.9333333333333333,0.9326599326599326
Wine,40/60,K-NN (k=1),2,1.0,1.0,1.0
Wine,40/60,K-NN (k=1),3,1.0,1.0,1.0
Wine,40/60,K-NN (k=1),4,1.0,1.0,1.0
Wine,40/60,K-NN (k=1),5,1.0,0.9285714285714286,0.9326599326599326
Wine,40/60,K-NN (k=7),1,1.0,0.9333333333333333,0.9326599326599326
Wine,40/60,K-NN (k=7),2,1.0,1.0,1.0
Wine,40/60,K-NN (k=7),3,1.0,1.0,1.0
Wine,40/60,K-NN (k=7),4,1.0,0.9285714285714286,0.9326599326599326
Wine,40/60,K-NN (k=7),5,1.0,1.0,1.0
Wine,40/60,K-NN (k=51),1,0.39285714285714285,0.4,0.19999999999999998
Wine,40/60,K-NN (k=51),2,0.40350877192982454,0.42857142857142855,0.19999999999999998
Wine,40/60,K-NN (k=51),3,0.38596491228070173,0.5,0.34385964912280703
Wine,40/60,K-NN (k=51),4,0.40350877192982454,0.35714285714285715,0.1851851851851852
Wine,40/60,K-NN (k=51),5,0.40350877192982454,0.35714285714285715,0.17543859649122806
Wine,40/60,Árbol (profundidad 1),1,0.7142857142857143,0.6,0.45751633986928103
Wine,40/60,Árbol (profundidad 1),2,0.7017543859649122,0.6428571428571429,0.48290598290598297
Wine,40/60,Árbol (profundidad 1),3,0.7368421052631579,0.5714285714285714,0.44755244755244755
Wine,40/60,Árbol (profundidad 1),4,0.6842105263157895,0.7142857142857143,0.5714285714285715
Wine,40/60,Árbol (profundidad 1),5,0.6842105263157895,0.7142857142857143,0.5714285714285715
Wine,40/60,Árbol (profundidad 5),1,1.0,0.7333333333333333,0.7222222222222222
Wine,40/60,Árbol (profundidad 5),2,1.0,0.8571428571428571,0.8777777777777778
Wine,40/60,Árbol (profundidad 5),3,1.0,0.8571428571428571,0.8666666666666667
Wine,40/60,Árbol (profundidad 5),4,1.0,0.7857142857142857,0.7666666666666666
Wine,40/60,Árbol (profundidad 5),5,1.0,1.0,1.0
Wine,40/60,Árbol (sin límite),1,1.0,0.7333333333333333,0.7222222222222222
Wine,40/60,Árbol (sin límite),2,1.0,0.8571428571428571,0.8777777777777778
Wine,40/60,Árbol (sin límite),3,1.0,0.8571428571428571,0.8666666666666667
Wine,40/60,Árbol (sin límite),4,1.0,0.7857142857142857,0.7666666666666666
Wine,40/60,Árbol (sin límite),5,1.0,1.0,1.0
Breast Cancer Wisconsin,50/50,K-NN (k=1),1,1.0,0.9473684210526315,0.9439895185063871
Breast Cancer Wisconsin,50/50,K-NN (k=1),2,1.0,0.9122807017543859,0.9025641025641026
Breast Cancer Wisconsin,50/50,K-NN (k=1),3,1.0,0.9473684210526315,0.9439895185063871
Breast Cancer Wisconsin,50/50,K-NN (k=1),4,1.0,0.9824561403508771,0.9816425120772947
Breast Cancer Wisconsin,50/50,K-NN (k=1),5,1.0,0.9285714285714286,0.9222222222222223
Breast Cancer Wisconsin,50/50,K-NN (k=7),1,0.9691629955947136,0.9824561403508771,0.981329839502129
Breast Cancer Wisconsin,50/50,K-NN (k=7),2,0.9691629955947136,0.9473684210526315,0.9415384615384615
Breast Cancer Wisconsin,50/50,K-NN (k=7),3,0.9779735682819384,0.9824561403508771,0.9809555629802873
Breast Cancer Wisconsin,50/50,K-NN (k=7),4,0.9647577092511013,0.9649122807017544,0.9629870129870131
Breast Cancer Wisconsin,50/50,K-NN (k=7),5,0.9692982456140351,0.9285714285714286,0.9203413940256046
Breast Cancer Wisconsin,50/50,K-NN (k=51),1,0.933920704845815,0.9649122807017544,0.9623015873015872
Breast Cancer Wisconsin,50/50,K-NN (k=51),2,0.933920704845815,0.9122807017543859,0.9025641025641026
Breast Cancer Wisconsin,50/50,K-NN (k=51),3,0.933920704845815,0.9298245614035088,0.922972972972973
Breast Cancer Wisconsin,50/50,K-NN (k=51),4,0.933920704845815,0.9122807017543859,0.9025641025641026
Breast Cancer Wisconsin,50/50,K-NN (k=51),5,0.9342105263157895,0.8928571428571429,0.8771929824561404
Breast Cancer Wisconsin,50/50,Árbol (profundidad 1),1,0.933920704845815,0.8947368421052632,0.881578947368421
Breast Cancer Wisconsin,50/50,Árbol (profundidad 1),2,0.933920704845815,0.9298245614035088,0.9210526315789473
Breast Cancer Wisconsin,50/50,Árbol (profundidad 1),3,0.933920704845815,0.9122807017543859,0.9066491975106452
Breast Cancer Wisconsin,50/50,Árbol (profundidad 1),4,0.947136563876652,0.8421052631578947,0.8319685555191614
Breast Cancer Wisconsin,50/50,Árbol (profundidad 1),5,0.9385964912280702,0.8928571428571429,0.8771929824561404
Breast Cancer Wisconsin,50/50,Árbol (profundidad 5),1,0.9955947136563876,0.9122807017543859,0.9066491975106452
Breast Cancer Wisconsin,50/50,Árbol (profundidad 5),2,1.0,0.9473684210526315,0.9439895185063871
Breast Cancer Wisconsin,50/50,Árbol (profundidad 5),3,1.0,0.9298245614035088,0.9259740259740259
Breast Cancer Wisconsin,50/50,Árbol (profundidad 5),4,1.0,0.8947368421052632,0.8869047619047619
Breast Cancer Wisconsin,50/50,Árbol (profundidad 5),5,1.0,0.9821428571428571,0.9807626245276537
Breast Cancer Wisconsin,50/50,Árbol (sin límite),1,1.0,0.8947368421052632,0.8869047619047619
Breast Cancer Wisconsin,50/50,Árbol (sin límite),2,1.0,0.9473684210526315,0.9439895185063871
Breast Cancer Wisconsin,50/50,Árbol (sin límite),3,1.0,0.9298245614035088,0.9259740259740259
Breast Cancer Wisconsin,50/50,Árbol (sin límite),4,1.0,0.8947368421052632,0.8869047619047619
Breast Cancer Wisconsin,50/50,Árbol (sin límite),5,1.0,0.9821428571428571,0.9807626245276537
Breast Cancer Wisconsin,40/60,K-NN (k=1),1,1.0,0.9782608695652174,0.9763739085772984
Breast Cancer Wisconsin,40/60,K-NN (k=1),2,1.0,0.9565217391304348,0.9543650793650793
Breast Cancer Wisconsin,40/60,K-NN (k=1),3,1.0,0.9111111111111111,0.9054621848739496
Breast Cancer Wisconsin,40/60,K-NN (k=1),4,1.0,0.9555555555555556,0.9527310924369747
Breast Cancer Wisconsin,40/60,K-NN (k=1),5,1.0,0.9777777777777777,0.9760765550239234
Breast Cancer Wisconsin,40/60,K-NN (k=7),1,0.9668508287292817,0.9565217391304348,0.9533468559837728
Breast Cancer Wisconsin,40/60,K-NN (k=7),2,0.9723756906077348,0.9347826086956522,0.9291217257318952
Breast Cancer Wisconsin,40/60,K-NN (k=7),3,0.978021978021978,0.9555555555555556,0.9515086206896552
Breast Cancer Wisconsin,40/60,K-NN (k=7),4,0.967032967032967,1.0,1.0
Breast Cancer Wisconsin,40/60,K-NN (k=7),5,0.978021978021978,0.9555555555555556,0.9527310924369747
Breast Cancer Wisconsin,40/60,K-NN (k=51),1,0.9226519337016574,0.9782608695652174,0.9763739085772984
Breast Cancer Wisconsin,40/60,K-NN (k=51),2,0.9392265193370166,0.8478260869565217,0.8165242165242166
Breast Cancer Wisconsin,40/60,K-NN (k=51),3,0.9505494505494505,0.8666666666666667,0.8444700460829493
Breast Cancer Wisconsin,40/60,K-NN (k=51),4,0.9230769230769231,0.9555555555555556,0.9527310924369747
Breast Cancer Wisconsin,40/60,K-NN (k=51),5,0.9285714285714286,0.9777777777777777,0.9760765550239234
Breast Cancer Wisconsin,40/60,Árbol (profundidad 1),1,0.9392265193370166,0.9130434782608695,0.9041666666666667
Breast Cancer Wisconsin,40/60,Árbol (profundidad 1),2,0.9447513812154696,0.9347826086956522,0.9270227392913801
Breast Cancer Wisconsin,40/60,Árbol (profundidad 1),3,0.9505494505494505,0.9111111111111111,0.9
Breast Cancer Wisconsin,40/60,Árbol (profundidad 1),4,0.945054945054945,0.9111111111111111,0.9054621848739496
Breast Cancer Wisconsin,40/60,Árbol (profundidad 1),5,0.9505494505494505,0.8666666666666667,0.8545258620689655
Breast Cancer Wisconsin,40/60,Árbol (profundidad 5),1,1.0,0.9565217391304348,0.9533468559837728
Breast Cancer Wisconsin,40/60,Árbol (profundidad 5),2,1.0,0.9782608695652174,0.9763739085772984
Breast Cancer Wisconsin,40/60,Árbol (profundidad 5),3,1.0,0.9111111111111111,0.9030172413793103
Breast Cancer Wisconsin,40/60,Árbol (profundidad 5),4,1.0,0.9555555555555556,0.9537037037037037
Breast Cancer Wisconsin,40/60,Árbol (profundidad 5),5,1.0,0.9777777777777777,0.9766233766233766
Breast Cancer Wisconsin,40/60,Árbol (sin límite),1,1.0,0.9565217391304348,0.9533468559837728
Breast Cancer Wisconsin,40/60,Árbol (sin límite),2,1.0,0.9782608695652174,0.9763739085772984
Breast Cancer Wisconsin,40/60,Árbol (sin límite),3,1.0,0.9111111111111111,0.9030172413793103
Breast Cancer Wisconsin,40/60,Árbol (sin límite),4,1.0,0.9555555555555556,0.9537037037037037
Breast Cancer Wisconsin,40/60,Árbol (sin límite),5,1.0,0.9777777777777777,0.9766233766233766
