dataset,particion_entrenamiento_prueba,muestras_entrenamiento,muestras_prueba,modelo,familia,tendencia_esperada,diagnostico_observado,accuracy_entrenamiento,accuracy_prueba,brecha_prueba,balanced_accuracy_prueba,precision_macro_prueba,recall_macro_prueba,f1_macro_prueba,accuracy_cv_entrenamiento_media,accuracy_cv_validacion_media,accuracy_cv_validacion_desviacion,brecha_cv,f1_macro_cv_validacion_media,f1_macro_cv_validacion_desviacion
Wine,50/50,89,89,K-NN (k=1),K-NN,Sobreajuste probable,Ajuste competitivo,1.0,0.9438202247191011,0.0561797752808989,0.9523809523809524,0.9421296296296297,0.9523809523809524,0.9439984430496765,1.0,0.9888888888888889,0.024845199749997673,0.011111111111111072,0.9888111888111888,0.02501894240559205
Wine,50/50,89,89,K-NN (k=7),K-NN,Referencia solicitada,Ajuste competitivo,0.9887640449438202,0.9325842696629213,0.0561797752808989,0.9412698412698411,0.9307048984468339,0.9412698412698411,0.9336956839367639,0.9888106416275431,0.9888888888888889,0.024845199749997673,-7.824726134586513e-05,0.9897435897435898,0.02293403053845935
Wine,50/50,89,89,K-NN (k=51),K-NN,Subajuste probable,Subajuste observado,0.898876404494382,0.8539325842696629,0.0449438202247191,0.8369047619047619,0.8857843137254902,0.8369047619047619,0.8444658119658119,0.6375195618153364,0.642483660130719,0.1303630776623506,-0.004964098315382581,0.5856596411072114,0.16998376867383208
Wine,50/50,89,89,Árbol (profundidad 1),Árbol de decisión,Subajuste probable,Subajuste observado,0.6741573033707865,0.6179775280898876,0.0561797752808989,0.5634920634920635,0.43501048218029353,0.5634920634920635,0.4824933536964761,0.6938967136150234,0.6176470588235294,0.02913816094791992,0.07624965479149393,0.4833966515081066,0.02498373301195239
Wine,50/50,89,89,Árbol (profundidad 5),Árbol de decisión,Complejidad intermedia,Sobreajuste observado,1.0,0.898876404494382,0.101123595505618,0.896031746031746,0.9220151828847482,0.896031746031746,0.902725328257243,1.0,0.9209150326797385,0.06426369008534971,0.07908496732026149,0.9192825692825692,0.06544690300445809
Wine,50/50,89,89,Árbol (sin límite),Árbol de decisión,Sobreajuste probable,Sobreajuste observado,1.0,0.898876404494382,0.101123595505618,0.896031746031746,0.9220151828847482,0.896031746031746,0.902725328257243,1.0,0.9209150326797385,0.06426369008534971,0.07908496732026149,0.9192825692825692,0.06544690300445809
Wine,40/60,71,107,K-NN (k=1),K-NN,Sobreajuste probable,Ajuste competitivo,1.0,0.9532710280373832,0.04672897196261683,0.9612403100775193,0.9521788341822298,0.9612403100775193,0.9546141270646599,1.0,0.9723809523809525,0.03785639412257483,0.027619047619047543,0.973063973063973,0.03688367390607181
Wine,40/60,71,107,K-NN (k=7),K-NN,Referencia solicitada,Sobreajuste observado,1.0,0.9065420560747663,0.09345794392523366,0.9132241188375912,0.9086354258768052,0.9132241188375912,0.9093340607217816,1.0,0.9723809523809525,0.03785639412257483,0.027619047619047543,0.973063973063973,0.03688367390607181
Wine,40/60,71,107,K-NN (k=51),K-NN,Subajuste probable,Subajuste observado,0.7183098591549296,0.6635514018691588,0.05475845728577078,0.6098522167487684,0.8365384615384616,0.6098522167487684,0.5948408218869562,0.3978696741854636,0.40857142857142853,0.05941895526595834,-0.010701754385964934,0.2208966861598441,0.06952514376781257
Wine,40/60,71,107,Árbol (profundidad 1),Árbol de decisión,Subajuste probable,Subajuste observado,0.6901408450704225,0.6074766355140186,0.08266420955640386,0.5588039867109634,0.44255907491201607,0.5588039867109634,0.4770700134185808,0.7042606516290727,0.6485714285714286,0.06515288143423648,0.05568922305764412,0.5061663826369709,0.060954435471869385
Wine,40/60,71,107,Árbol (profundidad 5),Árbol de decisión,Complejidad intermedia,Sobreajuste observado,1.0,0.8878504672897196,0.11214953271028039,0.8924046282506587,0.8907432740538076,0.8924046282506587,0.8914233594016289,1.0,0.8466666666666665,0.10036215600651796,0.15333333333333354,0.8466666666666667,0.10812658333958103
Wine,40/60,71,107,Árbol (sin límite),Árbol de decisión,Sobreajuste probable,Sobreajuste observado,1.0,0.8878504672897196,0.11214953271028039,0.8924046282506587,0.8907432740538076,0.8924046282506587,0.8914233594016289,1.0,0.8466666666666665,0.10036215600651796,0.15333333333333354,0.8466666666666667,0.10812658333958103
Breast Cancer Wisconsin,50/50,284,285,K-NN (k=1),K-NN,Sobreajuste probable,Sobreajuste observado,1.0,0.9368421052631579,0.06315789473684208,0.9304838199641615,0.9339141521461964,0.9304838199641615,0.9321428571428572,1.0,0.9436090225563909,0.026196171629532406,0.0563909774436091,0.9388815747752787,0.02948377838983608
Breast Cancer Wisconsin,50/50,284,285,K-NN (k=7),K-NN,Referencia solicitada,Ajuste competitivo,0.971830985915493,0.9614035087719298,0.01042747714356318,0.9519605776325498,0.9657054415118931,0.9519605776325498,0.9581022385566321,0.9700711028673004,0.9611528822055136,0.023309618092403825,0.008918220661786713,0.9574304542066991,0.02638010861364971
Breast Cancer Wisconsin,50/50,284,285,K-NN (k=51),K-NN,Subajuste probable,Subajuste observado,0.954225352112676,0.9298245614035088,0.02440079070916723,0.9075840624011806,0.9460948315643747,0.9075840624011806,0.9218578635665716,0.93397866913981,0.9224310776942357,0.027110856199659552,0.011547591445574268,0.9135191495717813,0.031736089610086185
