particion,indice_iris,Longitud del sépalo (cm),Ancho del sépalo (cm),Longitud del pétalo (cm),Ancho del pétalo (cm),clase_real,LDA,K-NN (k=3),Árbol de decisión
60/40,40,5.0,3.5,1.3,0.3,Setosa,Setosa,Setosa,Setosa
60/40,61,5.9,3.0,4.2,1.5,Versicolor,Versicolor,Versicolor,Versicolor
60/40,18,5.7,3.8,1.7,0.3,Setosa,Setosa,Setosa,Setosa
60/40,49,5.0,3.3,1.4,0.2,Setosa,Setosa,Setosa,Setosa
60/40,106,4.9,2.5,4.5,1.7,Virginica,Virginica,Versicolor,Virginica
60/40,20,5.4,3.4,1.7,0.2,Setosa,Setosa,Setosa,Setosa
60/40,69,5.6,2.5,3.9,1.1,Versicolor,Versicolor,Versicolor,Versicolor
60/40,93,5.0,2.3,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
60/40,141,6.9,3.1,5.1,2.3,Virginica,Virginica,Virginica,Virginica
60/40,104,6.5,3.0,5.8,2.2,Virginica,Virginica,Virginica,Virginica
60/40,85,6.0,3.4,4.5,1.6,Versicolor,Versicolor,Versicolor,Versicolor
60/40,78,6.0,2.9,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
60/40,133,6.3,2.8,5.1,1.5,Virginica,Versicolor,Versicolor,Versicolor
60/40,127,6.1,3.0,4.9,1.8,Virginica,Virginica,Virginica,Virginica
60/40,2,4.7,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
60/40,1,4.9,3.0,1.4,0.2,Setosa,Setosa,Setosa,Setosa
60/40,35,5.0,3.2,1.2,0.2,Setosa,Setosa,Setosa,Setosa
60/40,42,4.4,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
60/40,148,6.2,3.4,5.4,2.3,Virginica,Virginica,Virginica,Virginica
60/40,122,7.7,2.8,6.7,2.0,Virginica,Virginica,Virginica,Virginica
60/40,77,6.7,3.0,5.0,1.7,Versicolor,Versicolor,Versicolor,Virginica
60/40,98,5.1,2.5,3.0,1.1,Versicolor,Versicolor,Versicolor,Versicolor
60/40,107,7.3,2.9,6.3,1.8,Virginica,Virginica,Virginica,Virginica
60/40,111,6.4,2.7,5.3,1.9,Virginica,Virginica,Virginica,Virginica
60/40,51,6.4,3.2,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
60/40,132,6.4,2.8,5.6,2.2,Virginica,Virginica,Virginica,Virginica
60/40,116,6.5,3.0,5.5,1.8,Virginica,Virginica,Virginica,Virginica
60/40,36,5.5,3.5,1.3,0.2,Setosa,Setosa,Setosa,Setosa
60/40,123,6.3,2.7,4.9,1.8,Virginica,Virginica,Virginica,Virginica
60/40,23,5.1,3.3,1.7,0.5,Setosa,Setosa,Setosa,Setosa
60/40,145,6.7,3.0,5.2,2.3,Virginica,Virginica,Virginica,Virginica
60/40,97,6.2,2.9,4.3,1.3,Versicolor,Versicolor,Versicolor,Versicolor
60/40,134,6.1,2.6,5.6,1.4,Virginica,Virginica,Versicolor,Versicolor
60/40,21,5.1,3.7,1.5,0.4,Setosa,Setosa,Setosa,Setosa
