indice_iris,Longitud del sépalo (cm),Ancho del sépalo (cm),Longitud del pétalo (cm),Ancho del pétalo (cm),clase_real,LDA,K-NN (k=3),Árbol de decisión
107,7.3,2.9,6.3,1.8,Virginica,Virginica,Virginica,Virginica
63,6.1,2.9,4.7,1.4,Versicolor,Versicolor,Versicolor,Versicolor
133,6.3,2.8,5.1,1.5,Virginica,Versicolor,Versicolor,Virginica
56,6.3,3.3,4.7,1.6,Versicolor,Versicolor,Versicolor,Virginica
127,6.1,3.0,4.9,1.8,Virginica,Virginica,Virginica,Virginica
140,6.7,3.1,5.6,2.4,Virginica,Virginica,Virginica,Virginica
53,5.5,2.3,4.0,1.3,Versicolor,Versicolor,Versicolor,Versicolor
69,5.6,2.5,3.9,1.1,Versicolor,Versicolor,Versicolor,Versicolor
20,5.4,3.4,1.7,0.2,Setosa,Setosa,Setosa,Setosa
141,6.9,3.1,5.1,2.3,Virginica,Virginica,Virginica,Virginica
14,5.8,4.0,1.2,0.2,Setosa,Setosa,Setosa,Setosa
38,4.4,3.0,1.3,0.2,Setosa,Setosa,Setosa,Setosa
108,6.7,2.5,5.8,1.8,Virginica,Virginica,Virginica,Virginica
116,6.5,3.0,5.5,1.8,Virginica,Virginica,Virginica,Virginica
28,5.2,3.4,1.4,0.2,Setosa,Setosa,Setosa,Setosa
148,6.2,3.4,5.4,2.3,Virginica,Virginica,Virginica,Virginica
57,4.9,2.4,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
10,5.4,3.7,1.5,0.2,Setosa,Setosa,Setosa,Setosa
23,5.1,3.3,1.7,0.5,Setosa,Setosa,Setosa,Setosa
18,5.7,3.8,1.7,0.3,Setosa,Setosa,Setosa,Setosa
97,6.2,2.9,4.3,1.3,Versicolor,Versicolor,Versicolor,Versicolor
7,5.0,3.4,1.5,0.2,Setosa,Setosa,Setosa,Setosa
75,6.6,3.0,4.4,1.4,Versicolor,Versicolor,Versicolor,Versicolor
104,6.5,3.0,5.8,2.2,Virginica,Virginica,Virginica,Virginica
138,6.0,3.0,4.8,1.8,Virginica,Virginica,Versicolor,Virginica
51,6.4,3.2,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
84,5.4,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
93,5.0,2.3,3.3,1.0,Versicolor,Versicolor,Versicolor,Versicolor
66,5.6,3.0,4.5,1.5,Versicolor,Versicolor,Versicolor,Versicolor
35,5.0,3.2,1.2,0.2,Setosa,Setosa,Setosa,Setosa
134,6.1,2.6,5.6,1.4,Virginica,Virginica,Versicolor,Virginica
132,6.4,2.8,5.6,2.2,Virginica,Virginica,Virginica,Virginica
85,6.0,3.4,4.5,1.6,Versicolor,Versicolor,Versicolor,Virginica
49,5.0,3.3,1.4,0.2,Setosa,Setosa,Setosa,Setosa
111,6.4,2.7,5.3,1.9,Virginica,Virginica,Virginica,Virginica
40,5.0,3.5,1.3,0.3,Setosa,Setosa,Setosa,Setosa
42,4.4,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
2,4.7,3.2,1.3,0.2,Setosa,Setosa,Setosa,Setosa
43,5.0,3.5,1.6,0.6,Setosa,Setosa,Setosa,Setosa
77,6.7,3.0,5.0,1.7,Versicolor,Versicolor,Versicolor,Virginica
55,5.7,2.8,4.5,1.3,Versicolor,Versicolor,Versicolor,Versicolor
22,4.6,3.6,1.0,0.2,Setosa,Setosa,Setosa,Setosa
106,4.9,2.5,4.5,1.7,Virginica,Virginica,Versicolor,Virginica
147,6.5,3.0,5.2,2.0,Virginica,Virginica,Virginica,Virginica
58,6.6,2.9,4.6,1.3,Versicolor,Versicolor,Versicolor,Versicolor
