modelo,learning_rate,fold,train_accuracy,validation_accuracy,validation_f1_macro,validation_log_loss,epochs
anterior,0.001,1,1.0,0.96,0.9568151147098515,0.07584917418513969,356
anterior,0.001,2,1.0,1.0,1.0,0.006449122281267996,396
anterior,0.001,3,1.0,1.0,1.0,0.012176191186441771,395
anterior,0.001,4,1.0,0.96,0.9602339181286549,0.0671793732686647,336
anterior,0.001,5,1.0,1.0,1.0,0.009821559827411236,372
anterior,0.01,1,1.0,0.96,0.9568151147098515,0.10135428383830153,103
anterior,0.01,2,1.0,1.0,1.0,0.001565553391366595,109
anterior,0.01,3,1.0,1.0,1.0,0.0039326055886227795,106
anterior,0.01,4,1.0,0.96,0.9602339181286549,0.04264666300873685,92
anterior,0.01,5,1.0,1.0,1.0,0.0021912630074454914,103
anterior,0.1,1,1.0,0.96,0.9568151147098515,0.0405292917232599,33
anterior,0.1,2,1.0,1.0,1.0,0.0006470470134775295,36
anterior,0.1,3,1.0,1.0,1.0,0.0007105363464790497,34
anterior,0.1,4,1.0,0.96,0.9602339181286549,0.03869694393073032,30
anterior,0.1,5,1.0,1.0,1.0,0.00032604286236619486,33
mlp,0.001,1,1.0,0.96,0.9568151147098515,0.10143374919422596,402
mlp,0.001,2,1.0,1.0,1.0,0.012849930283323104,413
mlp,0.001,3,1.0,1.0,1.0,0.014573032366480963,418
mlp,0.001,4,1.0,0.96,0.9602339181286549,0.06261033710292661,389
mlp,0.001,5,1.0,1.0,1.0,0.012938953153201755,405
mlp,0.01,1,1.0,0.96,0.9568151147098515,0.14761436174899534,107
mlp,0.01,2,1.0,1.0,1.0,0.003575501432691031,109
mlp,0.01,3,1.0,1.0,1.0,0.003936891881246549,109
mlp,0.01,4,1.0,0.96,0.9602339181286549,0.053560395548388214,106
mlp,0.01,5,1.0,1.0,1.0,0.0034519472381793342,109
mlp,0.1,1,1.0,0.96,0.9568151147098515,0.31003656557735426,36
mlp,0.1,2,1.0,1.0,1.0,0.0007532217301888206,39
mlp,0.1,3,1.0,1.0,1.0,0.0006160529726783138,36
mlp,0.1,4,1.0,0.96,0.9602339181286549,0.033869411792220604,33
mlp,0.1,5,1.0,1.0,1.0,0.0006473480819333843,42
