modelo,capa,tipo,origen,destino,valor
anterior,1,peso,alcohol,h1,0.5209708531382709
anterior,1,peso,alcohol,h2,-0.5744240613943875
anterior,1,peso,alcohol,h3,0.9618899130355478
anterior,1,peso,alcohol,h4,0.843799351324967
anterior,1,peso,alcohol,h5,0.3081781103077531
anterior,1,peso,alcohol,h6,-0.8471068830776453
anterior,1,peso,alcohol,h7,0.22527885050325946
anterior,1,peso,alcohol,h8,0.9362975245659434
anterior,1,peso,alcohol,h9,0.1890527451638396
anterior,1,peso,alcohol,h10,-0.651779304826773
anterior,1,peso,alcohol,h11,-0.9238025066957504
anterior,1,peso,alcohol,h12,0.5478139451134978
anterior,1,peso,alcohol,h13,-0.29959204584575533
anterior,1,peso,alcohol,h14,-0.8430179603794453
anterior,1,peso,alcohol,h15,-1.0844744998153286
anterior,1,peso,alcohol,h16,-0.7956506014114777
anterior,1,peso,malic_acid,h1,0.22244910731820655
anterior,1,peso,malic_acid,h2,-0.3979731448817198
anterior,1,peso,malic_acid,h3,0.3159794071071548
anterior,1,peso,malic_acid,h4,0.2808084597135147
anterior,1,peso,malic_acid,h5,0.27791965437643096
anterior,1,peso,malic_acid,h6,-0.19828139194418165
anterior,1,peso,malic_acid,h7,-0.1497011243110592
anterior,1,peso,malic_acid,h8,0.30873292910000943
anterior,1,peso,malic_acid,h9,-0.21462716210730215
anterior,1,peso,malic_acid,h10,-0.3304206059685979
anterior,1,peso,malic_acid,h11,-0.08790021992464664
anterior,1,peso,malic_acid,h12,-0.12515719922595417
anterior,1,peso,malic_acid,h13,-0.23689705064273853
anterior,1,peso,malic_acid,h14,-0.38228293861493556
anterior,1,peso,malic_acid,h15,-0.3841484893652509
anterior,1,peso,malic_acid,h16,-0.17507105641672163
anterior,1,peso,ash,h1,0.36311590659331067
anterior,1,peso,ash,h2,-0.6106701457958753
anterior,1,peso,ash,h3,0.8270984270738895
anterior,1,peso,ash,h4,0.8350360747708531
anterior,1,peso,ash,h5,0.31368763997150956
anterior,1,peso,ash,h6,-0.6878901075676624
anterior,1,peso,ash,h7,0.1467576415000747
anterior,1,peso,ash,h8,0.6823667202200911
anterior,1,peso,ash,h9,-0.21430063527989124
anterior,1,peso,ash,h10,-0.7185882524678441
anterior,1,peso,ash,h11,-0.33868381611379594
anterior,1,peso,ash,h12,0.27476258833378914
anterior,1,peso,ash,h13,-0.5100983903233018
anterior,1,peso,ash,h14,-0.36404968833332346
anterior,1,peso,ash,h15,-0.9119734645418839
anterior,1,peso,ash,h16,-0.30129275621008433
anterior,1,peso,alcalinity_of_ash,h1,0.08834676767489819
anterior,1,peso,alcalinity_of_ash,h2,0.5507968191718717
anterior,1,peso,alcalinity_of_ash,h3,-0.7202763036539229
anterior,1,peso,alcalinity_of_ash,h4,-0.5181249641093477
anterior,1,peso,alcalinity_of_ash,h5,0.24920061951719857
anterior,1,peso,alcalinity_of_ash,h6,0.9422933048753008
anterior,1,peso,alcalinity_of_ash,h7,-0.534643179229041
anterior,1,peso,alcalinity_of_ash,h8,-0.5777850172533711
anterior,1,peso,alcalinity_of_ash,h9,-0.7080008863879005
anterior,1,peso,alcalinity_of_ash,h10,0.5370504893455341
anterior,1,peso,alcalinity_of_ash,h11,0.44283144125353124
anterior,1,peso,alcalinity_of_ash,h12,-0.6683805797145707
anterior,1,peso,alcalinity_of_ash,h13,-0.07197884181273623
anterior,1,peso,alcalinity_of_ash,h14,0.8470539136833127
anterior,1,peso,alcalinity_of_ash,h15,0.7537445382454797
anterior,1,peso,alcalinity_of_ash,h16,0.5867662700844914
anterior,1,peso,magnesium,h1,0.23023060653084923
anterior,1,peso,magnesium,h2,-0.23144904887479814
anterior,1,peso,magnesium,h3,0.10659604149564963
anterior,1,peso,magnesium,h4,0.33801900680386854
anterior,1,peso,magnesium,h5,0.009417146587162844
anterior,1,peso,magnesium,h6,0.014685604693703296
anterior,1,peso,magnesium,h7,0.6441829857148395
anterior,1,peso,magnesium,h8,0.18752215833094346
anterior,1,peso,magnesium,h9,-0.40216360490143716
anterior,1,peso,magnesium,h10,-0.14365636936228132
anterior,1,peso,magnesium,h11,0.04503190014608813
anterior,1,peso,magnesium,h12,0.5078037338354403
anterior,1,peso,magnesium,h13,-0.09728512162915899
anterior,1,peso,magnesium,h14,-0.20274107533745686
anterior,1,peso,magnesium,h15,-0.26251157606763575
anterior,1,peso,magnesium,h16,-0.49386840680360516
anterior,1,peso,total_phenols,h1,0.039357299662203346
anterior,1,peso,total_phenols,h2,-0.2016525197645793
anterior,1,peso,total_phenols,h3,0.10236392763465929
anterior,1,peso,total_phenols,h4,0.18680642486722504
anterior,1,peso,total_phenols,h5,-0.0350581321932698
anterior,1,peso,total_phenols,h6,-0.31141898021618597
anterior,1,peso,total_phenols,h7,0.3944810419083024
anterior,1,peso,total_phenols,h8,0.26408675318766267
anterior,1,peso,total_phenols,h9,0.3908190348809469
anterior,1,peso,total_phenols,h10,-0.2440667537603668
anterior,1,peso,total_phenols,h11,-0.5026312866684566
anterior,1,peso,total_phenols,h12,0.345938982449036
anterior,1,peso,total_phenols,h13,0.19781290205539917
anterior,1,peso,total_phenols,h14,-0.14816586167821605
anterior,1,peso,total_phenols,h15,-0.03468483976454519
anterior,1,peso,total_phenols,h16,-0.33748020879454016
anterior,1,peso,flavanoids,h1,-0.5194703171239065
anterior,1,peso,flavanoids,h2,0.006249293083688161
anterior,1,peso,flavanoids,h3,-0.0442643768408882
anterior,1,peso,flavanoids,h4,-0.45439254814081986
anterior,1,peso,flavanoids,h5,-0.8024795569056603
anterior,1,peso,flavanoids,h6,-0.31648530565450833
anterior,1,peso,flavanoids,h7,0.38831220187793913
anterior,1,peso,flavanoids,h8,-0.10272204744543918
anterior,1,peso,flavanoids,h9,0.7788442600690687
anterior,1,peso,flavanoids,h10,0.1265601689171096
anterior,1,peso,flavanoids,h11,-0.5785675495444792
anterior,1,peso,flavanoids,h12,0.59950432612261
anterior,1,peso,flavanoids,h13,0.44128282936721386
anterior,1,peso,flavanoids,h14,-0.8652588756508016
anterior,1,peso,flavanoids,h15,0.23515328852959216
anterior,1,peso,flavanoids,h16,-0.7413304868361156
anterior,1,peso,nonflavanoid_phenols,h1,0.08747378330672595
anterior,1,peso,nonflavanoid_phenols,h2,0.17691411651590153
anterior,1,peso,nonflavanoid_phenols,h3,0.003806350702279815
anterior,1,peso,nonflavanoid_phenols,h4,-0.07228124674170393
anterior,1,peso,nonflavanoid_phenols,h5,-0.03791282954931471
anterior,1,peso,nonflavanoid_phenols,h6,-0.11368485775285843
anterior,1,peso,nonflavanoid_phenols,h7,-0.10494697294375283
anterior,1,peso,nonflavanoid_phenols,h8,-0.03643216487110064
anterior,1,peso,nonflavanoid_phenols,h9,0.3091763367329804
anterior,1,peso,nonflavanoid_phenols,h10,0.1580025038989315
anterior,1,peso,nonflavanoid_phenols,h11,0.08259005881071772
anterior,1,peso,nonflavanoid_phenols,h12,-0.3312485746326079
anterior,1,peso,nonflavanoid_phenols,h13,-0.03946082766772866
anterior,1,peso,nonflavanoid_phenols,h14,-0.16927691222096222
anterior,1,peso,nonflavanoid_phenols,h15,0.12657575984268502
anterior,1,peso,nonflavanoid_phenols,h16,0.2635080635306782
anterior,1,peso,proanthocyanins,h1,-0.6524922653109115
anterior,1,peso,proanthocyanins,h2,0.535134759990027
anterior,1,peso,proanthocyanins,h3,-0.49900602355376567
anterior,1,peso,proanthocyanins,h4,-0.5207388698916614
anterior,1,peso,proanthocyanins,h5,-0.35234954649552425
anterior,1,peso,proanthocyanins,h6,0.1522119107035919
anterior,1,peso,proanthocyanins,h7,0.2382352896368508
anterior,1,peso,proanthocyanins,h8,-0.5661974034220717
anterior,1,peso,proanthocyanins,h9,0.16535630883202557
anterior,1,peso,proanthocyanins,h10,0.5606994506791925
anterior,1,peso,proanthocyanins,h11,-0.016377764564380365
anterior,1,peso,proanthocyanins,h12,0.2865394465767443
anterior,1,peso,proanthocyanins,h13,0.5374337827049149
anterior,1,peso,proanthocyanins,h14,0.38528801640462995
anterior,1,peso,proanthocyanins,h15,0.5587563508074889
anterior,1,peso,proanthocyanins,h16,0.0661418371455056
anterior,1,peso,color_intensity,h1,0.5497366316100417
anterior,1,peso,color_intensity,h2,-1.0956627421299223
anterior,1,peso,color_intensity,h3,1.0002333134865231
anterior,1,peso,color_intensity,h4,0.7362165469528996
anterior,1,peso,color_intensity,h5,0.4086852639535856
anterior,1,peso,color_intensity,h6,-0.6979756205305405
anterior,1,peso,color_intensity,h7,-0.24972569376460713
anterior,1,peso,color_intensity,h8,0.6055992205238081
anterior,1,peso,color_intensity,h9,-0.7401491758898967
anterior,1,peso,color_intensity,h10,-0.7352424217342854
anterior,1,peso,color_intensity,h11,0.4530086887342154
anterior,1,peso,color_intensity,h12,-0.5676944276458861
anterior,1,peso,color_intensity,h13,-0.5310238175112841
anterior,1,peso,color_intensity,h14,-0.28275509550026395
anterior,1,peso,color_intensity,h15,-0.9539635516323783
anterior,1,peso,color_intensity,h16,0.010823318438841028
anterior,1,peso,hue,h1,-0.6765747435581425
anterior,1,peso,hue,h2,0.837847085791034
anterior,1,peso,hue,h3,-0.629159198873975
anterior,1,peso,hue,h4,-0.6730178929511449
anterior,1,peso,hue,h5,-0.7847058367713976
anterior,1,peso,hue,h6,0.2548143488817452
anterior,1,peso,hue,h7,0.268422183884172
anterior,1,peso,hue,h8,-0.8748817902633944
anterior,1,peso,hue,h9,0.23432205896499977
anterior,1,peso,hue,h10,0.759820626624318
anterior,1,peso,hue,h11,-0.19544156688443487
anterior,1,peso,hue,h12,0.10485782292868076
anterior,1,peso,hue,h13,0.5977405327440297
anterior,1,peso,hue,h14,0.013479915014147062
anterior,1,peso,hue,h15,0.822713146494266
anterior,1,peso,hue,h16,-0.47127083012409743
anterior,1,peso,od280/od315_of_diluted_wines,h1,-0.28634463977572244
anterior,1,peso,od280/od315_of_diluted_wines,h2,-0.03706987849343996
anterior,1,peso,od280/od315_of_diluted_wines,h3,0.37325584655763505
anterior,1,peso,od280/od315_of_diluted_wines,h4,-0.2651304637203164
anterior,1,peso,od280/od315_of_diluted_wines,h5,-0.4131564373066014
anterior,1,peso,od280/od315_of_diluted_wines,h6,-0.5895162577061753
anterior,1,peso,od280/od315_of_diluted_wines,h7,0.6921477508298014
anterior,1,peso,od280/od315_of_diluted_wines,h8,0.006570663465967561
anterior,1,peso,od280/od315_of_diluted_wines,h9,0.25116139967653306
anterior,1,peso,od280/od315_of_diluted_wines,h10,0.24026066027222426
anterior,1,peso,od280/od315_of_diluted_wines,h11,-0.3211572057315025
anterior,1,peso,od280/od315_of_diluted_wines,h12,0.47243015287934065
anterior,1,peso,od280/od315_of_diluted_wines,h13,0.39447960899121715
