x,y,y_sin_ruido,ruido
7.739560485559633385e+00,1.727866942456613941e+01,1.647912097111926499e+01,7.995484534468731974e-01
4.388784397520523406e+00,7.966610684320925451e+00,9.777568795041046812e+00,-1.810958110720121583e+00
8.585979199113824123e+00,1.741563329014886818e+01,1.817195839822764825e+01,-7.563251080787793956e-01
6.973680290593638809e+00,1.754581717675940666e+01,1.494736058118727762e+01,2.598456595572130823e+00
9.417734788764953180e-01,2.171019015630138771e+00,2.883546957752990636e+00,-7.125279421228518650e-01
9.756223516367558801e+00,2.198747816966929136e+01,2.051244703273511760e+01,1.475031136934173093e+00
7.611397019903529682e+00,1.435555867978730582e+01,1.622279403980705936e+01,-1.867235360019753987e+00
7.860643052769537675e+00,1.631041098980381676e+01,1.672128610553907535e+01,-4.108751157352600325e-01
1.281136326755458743e+00,1.662228543689755034e+00,3.562272653510917486e+00,-1.900044109821162452e+00
4.503859378955671566e+00,9.329652606110217405e+00,1.000771875791134313e+01,-6.780661518011249500e-01
3.707980242325812359e+00,1.009657675956641398e+01,8.415960484651623830e+00,1.680616274914791042e+00
9.267649888486017673e+00,1.608065893058733664e+01,1.953529977697203535e+01,-3.454640846384697372e+00
6.438651200806645214e+00,1.474614968870500498e+01,1.387730240161329043e+01,8.688472870917146595e-01
8.227616132708298835e+00,1.793070347008115206e+01,1.745523226541659767e+01,4.754712046645557799e-01
4.434141988273311519e+00,8.679984065153034223e+00,9.868283976546623038e+00,-1.188299911393588815e+00
2.272387217847768870e+00,2.652658726918628584e+00,5.544774435695537740e+00,-2.892115708776909155e+00
5.545847870158348236e+00,1.223595475574443547e+01,1.209169574031669647e+01,1.442590154277390291e-01
6.381725610417532391e-01,1.217359703955901651e+00,2.276345122083506478e+00,-1.058985418127604827e+00
8.276311719925820043e+00,1.801797586256104822e+01,1.755262343985164009e+01,4.653524227094079091e-01
6.316643991220648680e+00,1.367699227348818347e+01,1.363328798244129736e+01,4.370429104688575844e-02
7.580877400853738735e+00,1.936531258434930791e+01,1.616175480170747747e+01,3.203557782641830887e+00
3.545259681298683851e+00,7.611808107651318878e+00,8.090519362597367703e+00,-4.787112549460485478e-01
9.706980243949033138e+00,1.836696550265433814e+01,2.041396048789806628e+01,-2.046994985243729914e+00
8.931211213221976308e+00,1.922097369635658382e+01,1.886242242644395262e+01,3.585512699126323088e-01
7.783834970737618875e+00,1.700766330941876703e+01,1.656766994147523775e+01,4.399933679435303335e-01
1.946387078519675740e+00,7.611149307520224561e+00,4.892774157039351479e+00,2.718375150480873081e+00
4.667210037270342227e+00,1.200464256636984217e+01,1.033442007454068445e+01,1.670222491829157052e+00
4.380376578722877667e-01,2.589817434043593991e+00,1.876075315744575533e+00,7.137421182990186797e-01
1.542894920675478287e+00,7.012395623790080634e+00,4.085789841350957019e+00,2.926605782439123615e+00
6.830489532424546262e+00,1.228345295620339073e+01,1.466097906484909252e+01,-2.377526108645701797e+00
7.447621559078171138e+00,1.461574005265684661e+01,1.589524311815634228e+01,-1.279503065499495440e+00
9.675097324342100791e+00,1.849704276587315022e+01,2.035019464868420158e+01,-1.853151882811049811e+00
3.258253581381519659e+00,6.736887556451502945e+00,7.516507162763039318e+00,-7.796196063115359287e-01
3.704597060348688853e+00,5.655821825584760987e+00,8.409194120697378594e+00,-2.753372295112617607e+00
4.695558112758079439e+00,1.166141811914496706e+01,1.039111622551615888e+01,1.270301893628808632e+00
1.894713590842856954e+00,4.344981787488166880e+00,4.789427181685713464e+00,-4.444453941975467504e-01
1.299215053354716431e+00,6.568175177041171153e-01,3.598430106709432863e+00,-2.941612589005315748e+00
4.757049262259337219e+00,8.482940362103590815e+00,1.051409852451867444e+01,-2.031158162415083179e+00
2.269093490508841349e+00,6.165214675918073262e+00,5.538186981017682697e+00,6.270276949003905642e-01
6.698139946825103053e+00,1.607253302943896855e+01,1.439627989365020611e+01,1.676253135788762227e+00
4.371519188723307359e+00,1.373650016083018777e+01,9.743038377446614717e+00,3.993461783383573049e+00
8.326781960578374608e+00,2.348128885317140657e+01,1.765356392115674922e+01,5.827724932014659132e+00
7.002651020022491402e+00,1.583412090659697569e+01,1.500530204004498280e+01,8.288188665519927723e-01
3.123666413820410881e+00,5.268256587577093697e+00,7.247332827640821762e+00,-1.979076240063728287e+00
8.322598013952010376e+00,1.338110346644140236e+01,1.764519602790402075e+01,-4.264092561462618391e+00
8.047643574968018854e+00,1.763071007462371043e+01,1.709528714993603771e+01,5.354229246876716086e-01
3.874783790301744801e+00,7.123685389982837179e+00,8.749567580603489603e+00,-1.625882190620651979e+00
2.883281039302441062e+00,5.935847558245511024e+00,6.766562078604882124e+00,-8.307145203593706562e-01
6.824955039749754704e+00,1.342571648137989371e+01,1.464991007949950941e+01,-1.224193598119616144e+00
1.397524836093098077e+00,3.513467899353425850e+00,3.795049672186196155e+00,-2.815817728327705272e-01
1.999082024751083209e+00,7.130124511077454486e+00,4.998164049502166861e+00,2.131960461575287180e+00
7.362269751005512397e-02,1.461342529910799382e+00,1.147245395020110248e+00,3.140971348906892446e-01
7.869243775021383946e+00,1.642121787596539306e+01,1.673848755004276967e+01,-3.172696740773766066e-01
6.648508565920321800e+00,1.222570962618902080e+01,1.429701713184064360e+01,-2.071307505651623249e+00
7.051653786263351265e+00,1.175394168311798815e+01,1.510330757252670253e+01,-3.349365889408713937e+00
7.807290310219679341e+00,1.564196480229269781e+01,1.661458062043935868e+01,-9.726158181466617592e-01
4.589157755383399540e+00,1.007075040913015762e+01,1.017831551076679908e+01,-1.075651016366409862e-01
